"filename", "language", "Kotlin", "log", "comment", "blank", "total"
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\AboutScreen.kt", "Kotlin", 110, 0, 0, 8, 118
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\AdvangatesScreen.kt", "Kotlin", 97, 0, 0, 8, 105
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\FAQScreen.kt", "Kotlin", 42, 0, 0, 6, 48
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\FeaturesScreen.kt", "Kotlin", 50, 0, 0, 6, 56
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\HowItWorksScreen.kt", "Kotlin", 68, 0, 0, 7, 75
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\SecurityScreen.kt", "Kotlin", 57, 0, 0, 6, 63
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\ProfileScreen.kt", "Kotlin", 140, 0, 0, 18, 158
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\ConfirmDeleteUserModal.kt", "Kotlin", 70, 0, 0, 6, 76
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\DeleteUserModal.kt", "Kotlin", 77, 0, 0, 4, 81
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\ProfileAvatar.kt", "Kotlin", 229, 0, 0, 14, 243
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\UpdateUserModal.kt", "Kotlin", 131, 0, 0, 13, 144
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\viewmodel\UserProfileViewModel.kt", "Kotlin", 141, 0, 0, 17, 158
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Color.kt", "Kotlin", 12, 0, 34, 10, 56
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Theme.kt", "Kotlin", 48, 0, 0, 6, 54
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Type.kt", "Kotlin", 14, 0, 17, 3, 34
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\Accordion.kt", "Kotlin", -50, 0, 0, -6, -56
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\AppButton.kt", "Kotlin", -91, 0, 0, -17, -108
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\AppField.kt", "Kotlin", -71, 0, 0, -6, -77
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\ConfirmationModal.kt", "Kotlin", -40, 0, 0, -2, -42
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\Link.kt", "Kotlin", -69, 0, 0, -10, -79
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\ObserveToastMessages.kt", "Kotlin", -21, 0, 0, -5, -26
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\common\Slider.kt", "Kotlin", -1, 0, -74, 0, -75
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\AppNavHost.kt", "Kotlin", -100, 0, 0, -6, -106
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\NavScreen.kt", "Kotlin", -38, 0, -2, -6, -46
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\components\LanguageButton.kt", "Kotlin", -106, 0, -2, -15, -123
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\components\LogoutButton.kt", "Kotlin", -44, 0, 0, -6, -50
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\components\LogoutModal.kt", "Kotlin", -32, 0, 0, -4, -36
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\components\NavigationBar.kt", "Kotlin", -109, 0, 0, -8, -117
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\navigation\viewmodel\LanguageViewModel.kt", "Kotlin", -17, 0, 0, -6, -23
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\LoginScreen.kt", "Kotlin", -32, 0, 0, -5, -37
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\RegisterScreen.kt", "Kotlin", -51, 0, 0, -8, -59
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\components\CodeConfirmation.kt", "Kotlin", -91, 0, 0, -14, -105
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\components\LoginForm.kt", "Kotlin", -108, 0, 0, -15, -123
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\components\RegisterForm.kt", "Kotlin", -140, 0, 0, -17, -157
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\components\RegisterSuccess.kt", "Kotlin", -43, 0, 0, -4, -47
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\viewmodel\AuthStateViewModel.kt", "Kotlin", -42, 0, 0, -6, -48
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\viewmodel\ConfirmationCodeViewModel.kt", "Kotlin", -40, 0, 0, -9, -49
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\viewmodel\LoginViewModel.kt", "Kotlin", -43, 0, 0, -9, -52
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\auth\viewmodel\RegisterViewModel.kt", "Kotlin", -37, 0, 0, -8, -45
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\common\HeroScreen.kt", "Kotlin", -69, 0, 0, -9, -78
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\common\SplashScreen.kt", "Kotlin", -157, 0, 0, -10, -167
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\common\SupportScreen.kt", "Kotlin", -55, 0, 0, -10, -65
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\common\components\ContactForm.kt", "Kotlin", -86, 0, -1, -8, -95
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\dashboard\DashboardScreen.kt", "Kotlin", -22, 0, 0, -4, -26
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\AboutScreen.kt", "Kotlin", -110, 0, 0, -8, -118
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\AdvangatesScreen.kt", "Kotlin", -97, 0, 0, -8, -105
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\FAQScreen.kt", "Kotlin", -42, 0, 0, -6, -48
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\FeaturesScreen.kt", "Kotlin", -50, 0, 0, -6, -56
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\HowItWorksScreen.kt", "Kotlin", -68, 0, 0, -7, -75
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\marketing\SecurityScreen.kt", "Kotlin", -57, 0, 0, -6, -63
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\ProfileScreen.kt", "Kotlin", -140, 0, 0, -18, -158
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\components\ConfirmDeleteUserModal.kt", "Kotlin", -70, 0, 0, -6, -76
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\components\DeleteUserModal.kt", "Kotlin", -77, 0, 0, -4, -81
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\components\ProfileAvatar.kt", "Kotlin", -223, 0, 0, -13, -236
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\components\UpdateUserModal.kt", "Kotlin", -131, 0, 0, -13, -144
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\screens\profile\viewmodel\UserProfileViewModel.kt", "Kotlin", -125, 0, 0, -15, -140
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\theme\Color.kt", "Kotlin", -12, 0, -34, -10, -56
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\theme\Theme.kt", "Kotlin", -48, 0, 0, -6, -54
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\ui\theme\Type.kt", "Kotlin", -14, 0, -17, -3, -34
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\ToastManager.kt", "Kotlin", 0, 0, 0, -1, -1
"c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\viewmodel\AppViewModel.kt", "Kotlin", 3, 0, 0, 0, 3
"Total", "-", 39, -1109, 7, -82, -1145
